Title,Page
__OFFSET_IN__,19
__OFFSET_OUT__,20
"A Fonte Secou",1
"A Mí Qué",3
"A Nivel De",5
"Afro Blue",7
"Aguardiente de Caña",9
"Almendra",13
"Alonzo",17
"Amantes",19
"Amazonia",27
"Amor",31
"Amor Artificial",33
"Anatelio (The Happy People)",41
"Angoa",43
"Aparecida",47
"Aquarela Do Brasil (a.k.a. Brazil)",49
"Aqui Oh!",51
"Arallué",53
"Armando's Rumba",61
"Atras De Nos",63
"Bacchanal",65
"Baía (a.k.a. Bahia)",67
"Bailando Así",69
"Basta De Clamares Inocência",75
"Bemba Colorá",77
"Bésame",81
"Bésame Mucho",83
"Bilongo",85
"Bomba de Corazón",89
"Brasileiro",93
"Bruca Maniguá",97
"Building Bridges",99
"Cachita",101
"Camaleón",103
"Camina y Prende El Fogón",107
"Capullito de Alelí",111
"Cascade Of The Seven Waterfalls",113
"Cha-cha-chá (a.k.a. Calzada de Cerro)",115
"Changüirí",117
"Claudia",127
"Club Morocco",129
"Coisa Feita",131
"Come With Me",133
"Compadre Pedro Juan",135
"Contigo En La Distancia",137
"Cubanita",139
"Curaçao",143
"Dame Un Cachito Pa' Huelé",145
"Danzón For My Father",147
"Decisión",151
"Déjala Que Baile Sola",153
"Déjala Que Siga Andando",161
"Déjame Soñar",165
"Dile a Catalina",169
"Dime Tú Que Lo Sabes",173
"Dom De Iludir",181
"Don Quixote",183
"E'",185
"Eastern Joy Dance",187
"Echale Salsita",189
"El Agua Del Clavelito",191
"El Cantar del Coquí",193
"El Manisero",198
"Elena Elena",201
"Encántigo",205
"Entrégate",209
"Estoy Como Nunca",215
"Flight To Jordan",223
"Flor De Lis (a.k.a. Upside Down)",225
"Frenesí",227
"Frevo",229
"Guararé",231
"Hannibal's Revenge",239
"Indestructible",241
"Indiferencia",245
"Jogral",249
"Juan Pachanga",253
"Kalinda",257
"La Charanga",261
"La Comparsa",263
"La Engañadora",265
"La Esencia del Guaguancó",267
"(Se Acabó) La Malanga",269
"La Patria Del Son",271
"La Vida Es Un Sueño",275
"Lágrimas Negras",277
"Lamento Borincano",279
"Latin Perspective",283
"Leva E Traz (Elis)",285
"Linda Chicana",287
"Lo Que Siento es Le Lo Ley",289
"Lo Que Va a Pasar",293
"Look To The Sky",297
"Lôro",299
"Los Tamalitos de Olga",301
"Lourdes' Lullaby",303
"Lua Soberana",309
"Luz Do Sol",311
"Mamblues",313
"Mambo #5",315
"Mambo #8",317
"Mambo Influenciado",319
"Mambo Inn",321
"Manteca",323
"María Cervantes",325
"Mas Que Nada",327
"Mayeya No Juegues Con Los Santos",329
"Me Voy Pa'l Pueblo",331
"Meu Canário Vizinho Azul",333
"Midnight Mambo",335
"Mixing",337
"Mountain Flight",339
"(Anda Ven y) Muévete",341
"Muito Normal",345
"Nací Moreno",347
"Natty Stick",355
"1983",357
"Novena",365
"O Bêbado E A Equilibrista",367
"O Pato",369
"Obsesión",371
"Obsession",373
"Oferere",377
"Outra Vez",379
"Pa' Gozar",381
"Pablo Pueblo",383
"Páginas de Mujer",389
"Palo Pa' Rumba",397
"Pare Cochero",405
"Paulistana",407
"Picadillo (a la Puente)",409
"Ponteio",411
"Pueblo Latino",413
"Pura Novela",419
"Que Se Fuñan",423
"Que Solpiesa",427
"Rainsville",431
"Ran Kan Kan",433
"Recuerdos de Arcaño",435
"Retrato Em Branco E Preto (a.k.a. Zingaro)",437
"Rico Vacilón",439
"Rio",441
"Sabor",443
"Sambadoura",445
"Sambita",447
"Sandunguera",449
"Second Wind",453
"Siembra",461
"Sin Saber Porque",463
"Sin Tu Cariño",467
"Só Danço Samba",471
"Só Te Esperando",473
"Solamente Una Vez",475
"Son De Cuba A Puerto Rico",477
"Son De La Loma",481
"Song For Chano",483
"Sonhos",487
"Soy Antillana",491
"Suavecito",495
"Tapete Mágico",497
"Te Desafío",499
"Tin Tin Deo",505
"To Wisdom The Prize",507
"Tombo in 7/4",509
"Tres Lindas Cubanas",511
"Um Samba",513
"Un Tipo Como Yo",515
"Vai Amigo",519
"Varadero Blues",521
"Vera Cruz",523
"Virgen de la Caridad",525
"Virou Areia",529
"Vive Y Vacila",533
"Você E' Linda",537
"Y Hoy Como Ayer",539
"Y Tú ¿Que Has Hecho?",545
"Yatra-Ta",547
"Yerbero Moderno",549
